  id  |                                                 name                                                 |         created_at         |         updated_at         | external_id 
 2318 | Start                                                                                                | 2012-08-01 09:00:52.311336 | 2012-09-06 00:31:09.151841 | 9919
 2078 | Frederickstad                                                                                        | 2012-08-01 09:00:51.474436 | 2012-08-01 09:00:51.478097 | 
 2081 | Brann                                                                                                | 2012-08-01 09:00:51.581087 | 2012-08-06 12:58:03.43373  | 8468
 2109 | Rosenborg                                                                                            | 2012-08-01 09:00:51.712083 | 2012-08-06 12:58:03.329377 | 8422
 2064 | Vasco da Gama                                                                                        | 2012-08-01 09:00:51.42563  | 2012-08-06 12:58:11.700636 | 10276
 2082 | VFL Bochum                                                                                           | 2012-08-01 09:00:51.588622 | 2012-08-01 09:00:51.592046 | 
 2083 | Evian TG                                                                                             | 2012-08-01 09:00:51.596454 | 2012-08-01 09:00:51.599975 | 
 2264 | Slovan Bratislava                                                                                    | 2012-08-01 09:00:52.245077 | 2013-06-25 00:30:39.105943 | 6019
 2076 | Ruch Chorzow                                                                                         | 2012-08-01 09:00:51.457449 | 2012-09-06 00:31:06.159416 | 1601
 2257 | Seattle                                                                                              | 2012-08-01 09:00:52.191861 | 2012-08-09 11:39:05.050707 | 130394
 5201 | NK Maribor                                                                                           | 2013-07-14 00:15:39.877426 | 2013-07-14 00:15:39.882789 | 
 2420 | Budapest Honved                                                                                      | 2012-08-01 09:00:52.442835 | 2013-06-25 00:30:40.911692 | 7779
 2100 | Maccabi Tel-Aviv                                                                                     | 2012-08-01 09:00:51.635683 | 2012-08-01 09:00:51.639077 | 
 1980 | LA Galaxy                                                                                            | 2012-08-01 09:00:50.80106  | 2012-08-24 09:06:02.913011 | 6637
 2096 | Wisla Krakow                                                                                         | 2012-08-01 09:00:51.604649 | 2012-09-06 00:31:06.101435 | 10265
 2098 | Maccabi Haifa                                                                                        | 2012-08-01 09:00:51.620375 | 2013-06-27 00:30:45.275447 | 10185
 2237 | Dinamo Zagreb                                                                                        | 2012-08-01 09:00:52.177055 | 2012-09-06 00:31:12.843486 | 10156
 2103 | Kaiser Chiefs                                                                                        | 2012-08-01 09:00:51.662153 | 2012-08-01 09:00:51.666773 | 
 2104 | Ajax Cape Town                                                                                       | 2012-08-01 09:00:51.671197 | 2012-08-01 09:00:51.674512 | 
 2105 | AEK Larnaca                                                                                          | 2012-08-01 09:00:51.679003 | 2012-08-01 09:00:51.682532 | 
 2106 | Mamelodi Sundowns                                                                                    | 2012-08-01 09:00:51.686821 | 2012-08-01 09:00:51.690004 | 
 2097 | APOEL Nicosia                                                                                        | 2012-08-01 09:00:51.6125   | 2012-08-06 13:01:00.878333 | 8621
 2108 | Odd Greenland                                                                                        | 2012-08-01 09:00:51.703958 | 2012-08-01 09:00:51.707755 | 
 2079 | Molde                                                                                                | 2012-08-01 09:00:51.561856 | 2012-08-06 12:58:03.40413  | 9917
 2116 | Bidvest Wits                                                                                         | 2012-08-01 09:00:51.721407 | 2012-08-01 09:00:51.724799 | 
 2117 | Free State Stars                                                                                     | 2012-08-01 09:00:51.759148 | 2012-08-01 09:00:51.762559 | 
 2118 | Jomo Cosmos                                                                                          | 2012-08-01 09:00:51.766954 | 2012-08-01 09:00:51.770298 | 
 2419 | Videoton                                                                                             | 2012-08-01 09:00:52.434326 | 2012-09-06 15:58:38.281924 | 8036
